ngram,score
贸易,6.549020403569834
产业,6.261754391036682
数字,6.07976555758634
强国、,6.07976555758634
开放,6.07976555758634
国、,6.07976555758634
现代,6.07976555758634
战略,5.857120883808044
加快建,5.857120883808044
加快建设,5.857120883808044
质量,5.857120883808044
。加快,5.857120883808044
快建,5.857120883808044
快建设,5.857120883808044
化、,5.857120883808044
优化,5.570269721250351
基础,5.570269721250351
技术,5.570269721250351
深度,5.570269721250351
服务,5.570269721250351
代化,5.570269721250351
由贸易,5.570269721250351
。推动,5.570269721250351
资源,5.570269721250351
现代化,5.570269721250351
市场,5.570269721250351
由贸,5.570269721250351
自由贸,5.570269721250351
水平,5.570269721250351
。推,5.570269721250351
推进,5.570269721250351
实施,5.570269721250351
制造,5.570269721250351
自由贸易,5.570269721250351
融合,5.570269721250351
技术、,5.16646436456055
。优化,5.16646436456055
。加快发,5.16646436456055
区开,5.16646436456055
区开放,5.16646436456055
高端,5.16646436456055
巩固,5.16646436456055
合作,5.16646436456055
优势,5.16646436456055
布局,5.16646436456055
国内,5.16646436456055
化基础设,5.16646436456055
展数字,5.16646436456055
建新,5.16646436456055
化基,5.16646436456055
